date,month,plot_index,battery_soc_pct,self_sufficiency_pct
2024-01-10 06:00:00,1,942,50.64541249250599,100.0
2024-01-10 07:00:00,1,943,49.96103431835491,26.278204807396076
2024-01-10 08:00:00,1,944,52.47180932963054,100.0
2024-01-10 09:00:00,1,945,64.60527582462029,100.0
2024-01-10 10:00:00,1,946,78.50064097531221,100.0
2024-01-10 11:00:00,1,947,91.90102189957659,100.0
2024-01-10 12:00:00,1,948,99.99,100.0
2024-01-10 13:00:00,1,949,99.99,100.0
2024-01-10 14:00:00,1,950,99.99,100.0
2024-01-10 15:00:00,1,951,99.99,100.0
2024-01-10 16:00:00,1,952,99.99,100.0
2024-01-10 17:00:00,1,953,97.83833004935634,100.0
2024-01-10 18:00:00,1,954,93.61895194086458,100.0
2024-01-10 19:00:00,1,955,89.79253486201712,100.0
2024-01-10 20:00:00,1,956,86.0216216249601,100.0
2024-01-10 21:00:00,1,957,82.25178543097385,100.0
2024-01-10 22:00:00,1,958,78.51469898890947,100.0
2024-01-10 23:00:00,1,959,74.80808418061373,100.0
2024-01-11 00:00:00,1,960,71.09221569727649,100.0
2024-01-11 01:00:00,1,961,67.40909156909002,100.0
2024-01-11 02:00:00,1,962,63.693263033266824,100.0
2024-01-11 03:00:00,1,963,59.955057648517126,100.0
2024-01-11 04:00:00,1,964,57.358497407919906,100.0
2024-01-11 05:00:00,1,965,53.80308794191032,100.0
2024-01-11 06:00:00,1,966,49.794857492993884,101.99928753630971
2024-01-11 07:00:00,1,967,49.78987800724459,5.053688696107763
2024-01-11 08:00:00,1,968,49.99678989853265,100.0
2024-01-11 09:00:00,1,969,57.15267753620766,100.0
2024-01-11 10:00:00,1,970,66.45531605938099,100.0
2024-01-11 11:00:00,1,971,75.9936442951598,100.0
2024-01-11 12:00:00,1,972,85.7162534997744,100.0
2024-01-11 13:00:00,1,973,95.66029388942701,100.0
2024-01-11 14:00:00,1,974,99.99,100.0
2024-01-11 15:00:00,1,975,99.99,100.0
2024-01-11 16:00:00,1,976,99.99,100.0
2024-01-11 17:00:00,1,977,97.61209865155102,100.0
2024-01-11 18:00:00,1,978,93.51078768951841,100.0
2024-01-11 19:00:00,1,979,89.43817340006068,100.0
2024-01-11 20:00:00,1,980,85.44593585913579,100.0
2024-01-11 21:00:00,1,981,81.4843704550262,100.0
2024-01-11 22:00:00,1,982,77.57902235928667,100.0
2024-01-11 23:00:00,1,983,73.70416272348112,100.0
2024-01-12 00:00:00,1,984,69.89513606199115,100.0
2024-01-12 01:00:00,1,985,66.16943458519633,100.0
2024-01-12 02:00:00,1,986,62.408233151511325,100.0
2024-01-12 03:00:00,1,987,58.64740783796969,100.0
2024-01-12 04:00:00,1,988,54.83988685196829,100.0
2024-01-12 05:00:00,1,989,50.95032729984681,100.0
2024-01-12 06:00:00,1,990,49.94498777541491,25.694637197757952
2024-01-12 07:00:00,1,991,49.93999327663737,6.212515964644708
2024-01-12 08:00:00,1,992,50.48777313826225,100.0
2024-01-12 09:00:00,1,993,57.04821022744673,100.0
2024-01-12 10:00:00,1,994,65.70984315701365,100.0
2024-01-12 11:00:00,1,995,75.34409561809035,100.0
