interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,publish_time_local,publish_time_utc,gen_system_wide,cop_hsl_system_wide,stppf_system_wide,pvgrpp_system_wide,hsl_system_wide
2024-01-01 00:00:00-06:00,2024-01-01 06:00:00+00:00,2024-01-01T01:00:00-06:00,2024-01-01 07:00:00+00:00,2023-12-25T01:55:37-06:00,2023-12-25 07:55:37+00:00,,24.8,0.0,0.0,
2024-01-01 01:00:00-06:00,2024-01-01 07:00:00+00:00,2024-01-01T02:00:00-06:00,2024-01-01 08:00:00+00:00,2023-12-25T02:55:58-06:00,2023-12-25 08:55:58+00:00,,24.8,0.0,0.0,
2024-01-01 02:00:00-06:00,2024-01-01 08:00:00+00:00,2024-01-01T03:00:00-06:00,2024-01-01 09:00:00+00:00,2023-12-25T03:55:40-06:00,2023-12-25 09:55:40+00:00,,24.8,0.0,0.0,
2024-01-01 03:00:00-06:00,2024-01-01 09:00:00+00:00,2024-01-01T04:00:00-06:00,2024-01-01 10:00:00+00:00,2023-12-25T04:55:40-06:00,2023-12-25 10:55:40+00:00,,24.8,0.0,0.0,
2024-01-01 04:00:00-06:00,2024-01-01 10:00:00+00:00,2024-01-01T05:00:00-06:00,2024-01-01 11:00:00+00:00,2023-12-25T05:55:38-06:00,2023-12-25 11:55:38+00:00,,24.8,0.0,0.0,
2024-01-01 05:00:00-06:00,2024-01-01 11:00:00+00:00,2024-01-01T06:00:00-06:00,2024-01-01 12:00:00+00:00,2023-12-25T06:55:34-06:00,2023-12-25 12:55:34+00:00,,24.8,0.0,0.0,
2024-01-01 06:00:00-06:00,2024-01-01 12:00:00+00:00,2024-01-01T07:00:00-06:00,2024-01-01 13:00:00+00:00,2023-12-25T07:55:37-06:00,2023-12-25 13:55:37+00:00,,24.8,0.0,0.0,
2024-01-01 07:00:00-06:00,2024-01-01 13:00:00+00:00,2024-01-01T08:00:00-06:00,2024-01-01 14:00:00+00:00,2023-12-25T08:55:39-06:00,2023-12-25 14:55:39+00:00,,167.0,163.9,111.7,
2024-01-01 08:00:00-06:00,2024-01-01 14:00:00+00:00,2024-01-01T09:00:00-06:00,2024-01-01 15:00:00+00:00,2023-12-25T09:55:43-06:00,2023-12-25 15:55:43+00:00,,3141.7,3811.7,2649.6,
2024-01-01 09:00:00-06:00,2024-01-01 15:00:00+00:00,2024-01-01T10:00:00-06:00,2024-01-01 16:00:00+00:00,2023-12-25T10:55:35-06:00,2023-12-25 16:55:35+00:00,,7655.6,9614.9,6203.6,
