,pv_generation_kwh,load_kwh,battery_soc,grid_import,grid_export,net_grid,pv_to_load,pv_to_battery,battery_to_load,self_sufficiency,grid_stable
0,18.599999999999998,1779.1796530423683,0.49995,1760.5796530423684,0.0,1760.5796530423684,18.599999999999998,0.0,0.0,0.010454256245677215,True
1,18.599999999999998,1771.1994051008612,0.49990000500000004,1752.5994051008613,0.0,1752.5994051008613,18.599999999999998,0.0,0.0,0.010501358540678156,True
2,18.599999999999998,1761.7228606703222,0.49985001499950005,1743.1228606703223,0.0,1743.1228606703223,18.599999999999998,0.0,0.0,0.010557846761960527,True
3,18.599999999999998,1761.390350339426,0.4998000299980001,1742.7903503394261,0.0,1742.7903503394261,18.599999999999998,0.0,0.0,0.010559839842665036,True
4,18.599999999999998,1769.4537258636567,0.4997500499950003,1750.8537258636568,0.0,1750.8537258636568,18.599999999999998,0.0,0.0,0.010511718802322158,True
5,18.599999999999998,1803.9516726941283,0.4997000749900008,1785.3516726941284,0.0,1785.3516726941284,18.599999999999998,0.0,0.0,0.010310697499019835,True
6,18.599999999999998,1829.1393302595088,0.4996501049825018,1810.539330259509,0.0,1810.539330259509,18.599999999999998,0.0,0.0,0.010168716889030606,True
7,125.25000000000001,1857.4027083856784,0.49960013997200353,1732.1527083856784,0.0,1732.1527083856784,125.25000000000001,0.0,0.0,0.06743287249153328,True
8,2356.2749999999996,1778.847142711472,0.5105202121335596,0.0,0.0,0.0,1778.847142711472,577.4278572885275,0.0,1.0,True
9,5741.700000000001,1767.7080466264522,0.5859674566417322,0.0,0.0,0.0,1767.7080466264522,3973.9919533735483,0.0,1.0,True
10,6706.6500000000015,1705.1961044179834,0.6809269811497247,0.0,0.0,0.0,1705.1961044179834,5001.453895582018,0.0,1.0,True
11,6760.7249999999985,1685.9936328087329,0.7772691424386461,0.0,0.0,0.0,1685.9936328087329,5074.731367191265,0.0,1.0,True
12,7500.6,1774.2751256616505,0.8859807081195696,0.0,0.0,0.0,1774.2751256616505,5726.32487433835,0.0,1.0,True
13,7813.349999999999,1770.783767187241,0.9999,0.0,41.550870684842266,-41.550870684842266,1770.783767187241,6001.015362127916,0.0,1.0,True
14,8131.2,1764.881708813835,0.9999,0.0,6361.055133291428,-6361.055133291428,1764.881708813835,5.2631578947368425,0.0,1.0,True
15,7811.249999999999,1816.9195755990766,0.9999,0.0,5989.067266506186,-5989.067266506186,1816.9195755990766,5.2631578947368425,0.0,1.0,True
16,4670.4,1848.3418018687591,0.9999,0.0,2816.795040236504,-2816.795040236504,1848.3418018687591,5.2631578947368425,0.0,1.0,True
17,646.2,1861.9747254354997,0.9742073121481484,0.0,0.0,0.0,646.2,0.0,1215.7747254354997,1.0,True
18,22.8,1868.2092941398018,0.9352630545072412,0.0,0.0,0.0,22.8,0.0,1845.409294139802,1.0,True
19,18.599999999999998,1842.0241055817332,0.8967854910823974,0.0,0.0,0.0,18.599999999999998,0.0,1823.4241055817333,1.0,True
20,18.599999999999998,1810.2693689811542,0.8589802293323574,0.0,0.0,0.0,18.599999999999998,0.0,1791.6693689811543,1.0,True
21,18.599999999999998,1827.3936510223043,0.8208182729587462,0.0,0.0,0.0,18.599999999999998,0.0,1808.7936510223044,1.0,False
22,18.599999999999998,1817.917106591765,0.7828596190286902,0.0,0.0,0.0,18.599999999999998,0.0,1799.3171065917652,1.0,False
23,18.599999999999998,1810.2693689811542,0.7450657498658556,0.0,0.0,0.0,18.599999999999998,0.0,1791.6693689811543,1.0,False
24,18.599999999999998,1802.6216313705438,0.7074366489917657,0.0,0.0,0.0,18.599999999999998,0.0,1784.021631370544,1.0,False
25,18.599999999999998,1800.8759521333393,0.669848058494485,0.0,0.0,0.0,18.599999999999998,0.0,1782.2759521333394,1.0,False
26,18.599999999999998,1794.5582558463134,0.6323962176881992,0.0,0.0,0.0,18.599999999999998,0.0,1775.9582558463135,1.0,False
27,18.599999999999998,1780.2603116177804,0.5952491013172384,0.0,0.0,0.0,18.599999999999998,0.0,1761.6603116177805,1.0,False
28,18.599999999999998,1780.2603116177804,0.5581056996579147,0.0,0.0,0.0,18.599999999999998,0.0,1761.6603116177805,1.0,False
29,18.599999999999998,1808.5236897439497,0.5203710533537389,0.0,0.0,0.0,18.599999999999998,0.0,1789.9236897439498,1.0,False
30,18.599999999999998,1857.7352187165745,0.4816042519285151,0.0,0.0,0.0,18.599999999999998,0.0,1839.1352187165746,1.0,False
31,123.075,1855.9895394793696,0.44507732838699754,0.0,0.0,0.0,123.075,0.0,1732.9145394793695,1.0,False
32,2066.625,1794.5582558463134,0.450201571866265,0.0,0.0,0.0,1794.5582558463134,272.0667441536866,0.0,1.0,False
33,4943.85,1678.2627676153984,0.5121965045086443,0.0,0.0,0.0,1678.2627676153984,3265.587232384602,0.0,1.0,False
34,5987.4,1573.189503052227,0.5960068973002569,0.0,0.0,0.0,1573.189503052227,4414.210496947772,0.0,1.0,False
35,6763.950000000001,1540.0215975453398,0.6951920107932007,0.0,0.0,0.0,1540.0215975453398,5223.928402454661,0.0,1.0,False
36,6647.7,1486.238051522894,0.7931804618354843,0.0,0.0,0.0,1486.238051522894,5161.461948477106,0.0,1.0,False
37,6744.45,1496.0471062843292,0.8928108268044004,0.0,0.0,0.0,1496.0471062843292,5248.402893715671,0.0,1.0,False
38,6575.025000000001,1637.7796348287968,0.9865198268937789,0.0,0.0,0.0,1637.7796348287968,4937.245365171204,0.0,1.0,False
39,5719.125,1783.4191597612935,0.9999,0.0,0.0,0.0,1783.4191597612935,709.4827950642656,0.0,1.0,False
