,cumulative_baseline,cumulative_solar,savings
0,444.79491326059207,440.1449132605921,4.649999999999977
1,887.5947645358074,878.2947645358074,9.299999999999955
2,1328.0254797033879,1314.075479703388,13.949999999999818
3,1768.3730672882443,1749.7730672882446,18.59999999999968
4,2210.7364987541587,2187.4864987541587,23.25
5,2661.724416927691,2633.824416927691,27.90000000000009
6,3119.0092494925684,3086.4592494925682,32.55000000000018
7,3583.359926588988,3519.4974265889878,63.86250000000018
8,4028.071712266856,3519.4974265889878,508.5742856778684
9,4469.998723923469,3519.4974265889878,950.501297334481
10,4896.297750027965,3519.4974265889878,1376.800323438977
11,5317.796158230148,3519.4974265889878,1798.29873164116
12,5761.36493964556,3519.4974265889878,2241.8675130565725
13,6204.06088144237,3515.3423395205036,2688.7185419218667
14,6645.281308645829,2879.2368261913607,3766.0444824544684
15,7099.511202545598,2280.330099540742,4819.181103004856
16,7561.596653012788,1998.6505955170917,5562.946057495697
17,8027.090334371663,1998.6505955170917,6028.439738854571
18,8494.142657906614,1998.6505955170917,6495.492062389522
19,8954.648684302047,1998.6505955170917,6955.998088784955
20,9407.216026547336,1998.6505955170917,7408.565431030244
21,10320.912852058487,1998.6505955170917,8322.262256541395
22,11229.87140535437,1998.6505955170917,9231.220809837278
23,12135.006089844946,1998.6505955170917,10136.355494327854
24,13036.316905530219,1998.6505955170917,11037.666310013126
25,13936.754881596888,1998.6505955170917,11938.104286079795
26,14834.034009520044,1998.6505955170917,12835.383414002952
27,15724.164165328935,1998.6505955170917,13725.513569811843
28,16614.294321137826,1998.6505955170917,14615.643725620734
29,17518.5561660098,1998.6505955170917,15519.905570492707
30,18447.423775368086,1998.6505955170917,16448.773179850996
31,19375.418545107772,1998.6505955170917,17376.76794959068
32,20272.69767303093,1998.6505955170917,18274.04707751384
33,21111.82905683863,1998.6505955170917,19113.17846132154
34,21898.423808364743,1998.6505955170917,19899.773212847653
35,22668.434607137413,1998.6505955170917,20669.784011620322
36,23411.55363289886,1998.6505955170917,21412.90303738177
37,24159.577186041024,1998.6505955170917,22160.926590523934
38,24978.467003455422,1998.6505955170917,22979.81640793833
39,25870.17658333607,1998.6505955170917,23871.52598781898
40,26787.19851215618,1998.6505955170917,24788.54791663909
41,27710.49657347196,1998.6505955170917,25711.84597795487
42,28634.50121924089,1998.6505955170917,26635.8506237238
43,29549.943723989247,1998.6505955170917,27551.293128472156
44,30459.775116903733,1998.6505955170917,28461.124521386642
45,31377.29581122019,1998.6505955170917,29378.645215703098
46,32292.738315968545,1998.6505955170917,30294.087720451455
47,33201.69686926443,1998.6505955170917,31203.04627374734
48,34105.9587141364,1998.6505955170917,32107.308118619312
49,35007.934550483464,1998.6505955170917,33009.28395496637
50,35906.08651802522,1998.6505955170917,33907.43592250813
51,36804.23848556698,1998.6505955170917,34805.58789004989
52,37705.341482295444,1998.6505955170917,35706.69088677835
53,38617.45888373484,1998.6505955170917,36618.80828821775
54,39539.884105432015,1998.6505955170917,37541.23350991492
55,40467.71262000625,1998.6505955170917,38469.062024489154
56,41353.81108805302,1998.6505955170917,39355.16049253593
57,42160.647405972435,1998.6505955170917,40161.99681045534
58,42922.09606372453,1998.6505955170917,40923.445468207436
59,43654.40850373185,1998.6505955170917,41655.75790821476
60,44381.31765086211,1998.6505955170917,42382.66705534502
61,45138.77618464345,1998.6505955170917,43140.12558912636
62,45966.93472753158,1998.6505955170917,43968.28413201449
63,46865.79327952649,1998.6505955170917,44867.1426840094
64,47778.78352058449,1998.6505955170917,45780.132925067395
65,48712.88816765439,1998.6505955170917,46714.237572137296
66,49646.49404922795,1998.6505955170917,47647.843453710855
67,50562.64313842946,1998.6505955170917,48563.99254291237
68,51471.102926229,1998.6505955170917,49472.45233071191
69,52380.2692984817,1998.6505955170917,50381.6187029646
70,53290.807275849336,1998.6505955170917,51292.15668033224
71,54202.924677288735,1998.6505955170917,52204.27408177164
72,55114.33549427498,1998.6505955170917,53115.684898757885
73,56021.922442455914,1998.6505955170917,54023.27184693882
74,56923.23325814118,1998.6505955170917,54924.58266262409
75,57823.67123420785,1998.6505955170917,55825.02063869076
76,58725.48081538947,1998.6505955170917,56726.830219872376
77,59644.04060448998,1998.6505955170917,57645.390008972885
78,60604.164184952504,1998.6505955170917,58605.51358943541
79,61610.548265200945,1998.6505955170917,59611.89766968385
80,62632.80971374968,1998.6505955170917,60634.15911823259
81,63599.209426707865,1998.6505955170917,61600.55883119077
82,64503.63752674529,1998.6505955170917,62504.986931228195
83,65379.802248656546,1998.6505955170917,63381.15165313945
84,66245.65915031002,1998.6505955170917,64247.00855479293
85,67124.94115657342,1998.6505955170917,65126.290561056325
86,68070.06020835425,1998.6505955170917,66071.40961283716
87,69087.62494847908,1998.6505955170917,67088.97435296199
88,70112.17240555272,1998.6505955170917,68113.52181003563
89,71131.98159041109,1998.6505955170917,69133.330994894
90,72134.70805701967,1998.6505955170917,70136.05746150258
91,73126.25386375187,1998.6505955170917,71127.60326823479
92,74104.5408210396,1998.6505955170917,72105.89022552251
93,75076.34382687484,1998.6505955170917,73077.69323135776
94,76031.77069891346,1998.6505955170917,74033.12010339637
95,76973.73090255079,1998.6505955170917,74975.0803070337
96,77914.98452173495,1998.6505955170917,75916.33392621786
97,78857.81756499088,1998.6505955170917,76859.1669694738
98,79795.9538998229,1998.6505955170917,77797.30330430581
99,80727.81410215925,1998.6505955170917,78729.16350664216
100,81652.48376858997,1998.6505955170917,79653.83317307288
101,82613.31393350565,1998.6505955170917,80614.66333798856
102,83603.2803161661,1998.6505955170917,81604.62972064901
103,84634.1039057354,1998.6505955170917,82635.45331021832
104,85649.05012700442,1998.6505955170917,83650.39953148733
105,86135.82446954065,1998.6505955170917,84137.17387402356
106,86597.82679242511,1998.6505955170917,84599.17619690803
107,87041.39557384052,1998.6505955170917,85042.74497832343
108,87482.61600104398,1998.6505955170917,85483.96540552689
109,87930.81914519625,1998.6505955170917,85932.16854967916
110,88405.72702529862,1998.6505955170917,86407.07642978153
111,88914.07297555172,1998.6505955170917,86915.42238003464
112,89428.34176607392,1998.6505955170917,87429.69117055683
113,89937.80993869381,1998.6505955170917,87939.15934317673
114,90440.29539436488,2186.8246941698526,88253.47070019503
115,90934.8421658858,2676.7214656907754,88258.12070019502
116,91421.18008861272,3158.4093884177005,88262.77070019502
117,91902.90443049846,3635.483730303442,88267.42070019501
118,92376.33679600748,4104.266095812462,88272.07070019502
119,92844.96854361419,4568.247843419169,88276.72070019502
120,93307.05399408138,5025.683293886359,88281.37070019502
121,93773.31660558045,5487.295905385431,88286.02070019502
122,94234.09279661973,5943.422096424718,88290.67070019501
123,94683.16878039061,6387.8480801955975,88295.320700195
124,95137.39867429038,6837.427974095367,88299.97070019502
125,95604.97054521735,7300.349845022342,88304.62070019501
126,96090.87204813497,7781.601347939966,88309.270700195
127,96594.14721584192,8257.576515646912,88336.570700195
128,97091.1462510532,8257.576515646912,88833.56973540629
129,97565.3683285981,8257.576515646912,89307.79181295118
130,98013.21818052379,8257.576515646912,89755.64166487688
131,98446.9363433864,8257.576515646912,90189.35982773949
132,98877.84895033209,8257.576515646912,90620.27243468518
133,99308.76155727777,8257.576515646912,91051.18504163086
134,99765.25667780677,7674.948320914941,92090.30835689182
135,100258.32793473435,7133.488139475443,93124.8397952589
136,100757.23890434828,6850.24884311049,93906.9900612378
137,101253.36509994096,6850.24884311049,94403.11625683047
138,101742.15528635825,6850.24884311049,94891.90644324776
139,102231.65205722868,6850.24884311049,95381.4032141182
140,102710.13442338818,6850.24884311049,95859.8855802777
141,103179.2025908042,6850.24884311049,96328.95374769371
142,103620.42301800766,6850.24884311049,96770.17417489717
143,104056.4064074995,6850.24884311049,97206.15756438901
144,104486.98650411428,6850.24884311049,97636.73766100379
145,104919.83182735828,6850.24884311049,98069.5829842478
146,105370.81974553181,6850.24884311049,98520.57090242133
147,105821.37124389605,6850.24884311049,98971.12240078556
148,106271.23693970281,6850.24884311049,99420.98809659232
149,106730.08041444376,6850.24884311049,99879.83157133327
150,107207.00413842719,7095.971912181836,100111.03222624536
151,107709.84288632484,7563.6169100794805,100146.22597624536
152,108208.0680533813,7563.6169100794805,100644.45114330182
153,108680.71070685444,7563.6169100794805,101117.09379677496
154,109138.78525145519,7563.6169100794805,101575.16834137571
155,109600.35115453036,7563.6169100794805,102036.73424445088
156,110067.92302545733,7563.6169100794805,102504.30611537785
157,110542.58152281154,7503.774724463564,103038.80679834797
158,111022.99660526938,6944.239573236173,104078.7570320332
159,111515.19502257835,6441.385255949234,105073.80976662911
160,112012.87986034711,6188.803006846209,105824.0768535009
161,112508.65276371321,6188.803006846209,106319.849756867
162,112996.13369070258,6188.803006846209,106807.33068385637
163,113475.48889648069,6188.803006846209,107286.68588963448
164,113944.47393631397,6188.803006846209,107755.67092946776
165,114405.68654716255,6188.803006846209,108216.88354031634
166,114861.82837546497,6188.803006846209,108673.02536861876
167,115313.60600567439,6188.803006846209,109124.80299882818
168,115764.15750403862,6188.803006846209,109575.35449719241
169,116215.85200666531,6188.803006846209,110027.0489998191
170,116666.94383431725,6188.803006846209,110478.14082747104
171,117117.16282235058,6188.803006846209,110928.35981550437
172,117571.30958866763,6188.803006846209,111382.50658182142
173,118032.52219951621,6188.803006846209,111843.71919267
174,118505.51814521593,6492.894629565291,112012.62351565064
175,118997.36327029832,6972.383504647683,112024.97976565063
176,119488.41868334483,7195.932667694196,112292.48601565063
177,119973.98767593157,7195.932667694196,112778.05500823737
178,120446.63032940471,7195.932667694196,113250.69766171051
179,120904.35158177889,7195.932667694196,113708.41891408469
180,121346.2785934355,7195.932667694196,114150.3459257413
181,121825.1142518216,7195.932667694196,114629.1815841274
182,122344.80711711654,7195.932667694196,115148.87444942234
183,122873.58167082407,7195.932667694196,115677.64900312987
184,123401.48338491301,7195.932667694196,116205.55071721881
185,123905.11184484653,7195.932667694196,116709.17917715233
186,124388.74812113492,7195.932667694196,117192.81545344072
187,124863.30270901072,7195.932667694196,117667.37004131652
188,125327.30009388056,7195.932667694196,118131.36742618636
189,126239.58375048541,7195.932667694196,119043.65108279121
190,127143.13901090424,7195.932667694196,119947.20634321004
191,128045.9876868699,7195.932667694196,120850.0550191757
192,128944.13965441167,7195.932667694196,121748.20698671747
193,129838.96651864448,7195.932667694196,122643.03385095028
194,130726.64441076301,7195.932667694196,123530.71174306881
195,131609.79184962308,7195.932667694196,124413.85918192888
196,132490.4870247928,7195.932667694196,125294.55435709859
197,133382.86162533524,7195.932667694196,126186.92895764104
198,134299.67573519854,7195.932667694196,127103.74306750434
199,135215.1182399469,7195.932667694196,128019.1855722527
200,136107.70065944616,7195.932667694196,128911.76799175196
201,136990.84809830622,7195.932667694196,129794.91543061202
202,137873.1226975477,7195.932667694196,130677.19002985349
203,138760.2602603785,7195.932667694196,131564.3275926843
204,139666.10152932224,7195.932667694196,132470.16886162804
205,140561.6349780082,7195.932667694196,133365.702310314
206,141469.9285106423,7195.932667694196,134273.9958429481
207,142383.62533615343,7195.932667694196,135187.69266845923
208,143305.88430268515,7195.932667694196,136109.95163499095
209,144229.88894845409,7195.932667694196,137033.95628075988
210,145152.31417015125,7195.932667694196,137956.38150245705
211,146066.883835281,7195.932667694196,138870.9511675868
212,146976.7152281955,7195.932667694196,139780.7825605013
213,147830.89270447625,7195.932667694196,140634.96003678205
214,148683.3245015198,7195.932667694196,141487.3918338256
215,149567.17852483303,7195.932667694196,142371.24585713883
216,150455.72925657016,7195.932667694196,143259.79658887596
217,151335.71784728672,7195.932667694196,144139.78517959252
218,152214.8335983847,7195.932667694196,145018.9009306905
219,153085.38720846208,7195.932667694196,145889.45454076788
220,153956.64740299262,7195.932667694196,146760.71473529842
221,154844.32529511114,7195.932667694196,147648.39262741694
222,155742.4772626529,7195.932667694196,148546.5445949587
223,156656.17408816403,7195.932667694196,149460.24142046983
224,157642.1503468537,7195.932667694196,150446.2176791595
225,158768.82003930383,7195.932667694196,151572.88737160963
226,159941.9164867053,7195.932667694196,152745.9838190111
227,161137.70676419046,7195.932667694196,153941.77409649626
228,162298.74971209696,7195.932667694196,155102.81704440276
229,163392.41775420564,7195.932667694196,156196.48508651144
230,164490.78250473822,7195.932667694196,157294.84983704402
231,165602.6139236721,7195.932667694196,158406.6812559779
232,166676.04039938745,7195.932667694196,159480.10773169325
233,167749.30061993736,7195.932667694196,160553.36795224316
234,168761.2542482283,7195.932667694196,161565.3215805341
235,169677.19551847302,7195.932667694196,162481.26285077882
236,170580.0441944387,7195.932667694196,163384.1115267445
237,171482.7266152389,7195.932667694196,164286.7939475447
238,172377.71973463715,7195.932667694196,165181.78706694295
239,173265.56388192115,7195.932667694196,166069.63121422695
240,174155.69403773005,7195.932667694196,166959.76137003585
241,175038.13489213696,7195.932667694196,167842.20222444276
242,175928.4313031113,7195.932667694196,168732.4986354171
243,176824.1310069627,7195.932667694196,169628.1983392685
244,177448.75166355105,7195.932667694196,170252.81899585685
245,178301.1834605946,7195.932667694196,171105.2507929004
246,179242.43707977876,7195.932667694196,172046.50441208456
247,180230.82403836746,7195.932667694196,173034.89137067326
248,181213.80770407908,7195.932667694196,174017.87503638488
249,182139.3502101284,7195.932667694196,174943.4175424342
250,183027.90094186555,7195.932667694196,175831.96827417135
251,183897.78953128113,7195.932667694196,176701.85686358693
252,184759.6147451725,7195.932667694196,177563.6820774783
253,185623.0193831356,7195.932667694196,178427.0867154414
254,186533.72361566868,7195.932667694196,179337.79094797448
255,187525.2694224009,7195.932667694196,180329.3367547067
256,188537.43086964864,7195.932667694196,181341.49820195444
257,189540.86392071037,7195.932667694196,182344.93125301617
258,190524.55417087514,7195.932667694196,183328.62150318094
259,191498.9756955662,7195.932667694196,184303.043027872
260,192454.4025676048,7195.932667694196,185258.4698999106
261,193402.63890373777,7195.932667694196,186206.70623604357
262,194337.61639042626,7195.932667694196,187141.68372273206
263,195265.4449050005,7195.932667694196,188069.5122373063
264,196177.72856160536,7195.932667694196,188981.79589391116
265,197070.31098110462,7195.932667694196,189874.37831341042
266,197971.4139778331,7195.932667694196,190775.4813101389
267,198872.51697456156,7195.932667694196,191676.58430686736
268,199784.8006311664,7195.932667694196,192588.8679634722
269,200716.66083350277,7195.932667694196,193520.72816580857
270,201677.49099841845,7195.932667694196,194481.55833072425
271,202672.86067395596,7195.932667694196,195476.92800626176
272,203665.27932030676,7195.932667694196,196469.34665261256
273,204629.43458853138,7195.932667694196,197433.50192083718
274,205547.82812246645,7195.932667694196,198351.89545477225
275,206492.24058979412,7195.932667694196,199296.30792209992
276,207431.9563486979,7195.932667694196,200236.0236810037
277,208403.96717348995,7195.932667694196,201208.03450579575
278,209393.93355615038,7195.932667694196,202198.00088845618
279,210402.7699000892,7195.932667694196,203206.837232395
280,211400.59183931706,7195.932667694196,204204.65917162286
281,212384.988673935,7195.932667694196,205189.0560062408
282,213348.93612320282,7195.932667694196,206153.00345550862
283,214301.20414709792,7195.932667694196,207105.27147940372
284,215249.6483021877,7195.932667694196,208053.7156344935
285,216185.33237332935,7195.932667694196,208989.39970563515
286,217114.9065671408,7195.932667694196,209918.9738994466
287,218038.2046284566,7195.932667694196,210842.2719607624
288,218949.61544544282,7195.932667694196,211753.68277774862
289,219857.20239362377,7195.932667694196,212661.26972592957
290,220763.20991773295,7195.932667694196,213567.27725003875
291,221667.63801777037,7195.932667694196,214471.70535007617
292,222579.0488347566,7195.932667694196,215383.1161670624
293,223505.29792525907,7195.932667694196,216309.36525756487
294,224472.40422267042,7195.932667694196,217276.47155497622
295,225484.35785096136,7195.932667694196,218288.42518326716
296,226481.30695057064,7195.932667694196,219285.37428287644
297,227417.69760616546,7195.932667694196,220221.76493847126
298,228306.41459306804,7195.932667694196,221110.48192537384
299,229169.81923103114,7195.932667694196,221973.88656333694
300,230030.27283980756,7195.932667694196,222834.34017211336
301,230903.98529802845,7195.932667694196,223708.05263033425
302,231824.1245112007,7195.932667694196,224628.1918435065
303,232833.66743959265,7195.932667694196,225637.73477189845
304,233853.47662445102,7195.932667694196,226657.54395675682
305,234864.55741312337,7195.932667694196,227668.62474542917
306,235860.79992827948,7195.932667694196,228664.86726058528
307,236842.20416991934,7195.932667694196,229646.27150222514
308,237797.42322300113,7195.932667694196,230601.49055530693
309,238752.85009503973,7195.932667694196,231556.91742734553
310,239694.81029867704,7195.932667694196,232498.87763098284
311,240622.80506841672,7195.932667694196,233426.87240072252
312,241535.08872502157,7195.932667694196,234339.15605732737
313,242446.33328684236,7195.932667694196,235250.40061914816
314,243348.30912318942,7195.932667694196,236152.37645549522
315,244247.16767518435,7195.932667694196,237051.23500749015
316,245145.3196427261,7195.932667694196,237949.3869750319
317,246063.006592208,7195.932667694196,238867.0739245138
318,247015.2746161031,7195.932667694196,239819.3419484089
319,248020.07927227978,7195.932667694196,240824.14660458558
320,249025.0501836219,7195.932667694196,241829.1175159277
321,250007.16100971494,7195.932667694196,242811.22834202074
322,250945.29734454697,7195.932667694196,243749.36467685277
323,251819.716387221,7195.932667694196,244623.7837195268
324,252745.25889327034,7195.932667694196,245549.32622557614
325,253621.92238067795,7195.932667694196,246425.98971298375
326,254590.7743573265,7195.932667694196,247394.8416896323
327,255603.43457007062,7195.932667694196,248407.50190237642
328,256611.3980743908,7195.932667694196,249415.4654066966
329,257597.54058824596,7195.932667694196,250401.60792055176
330,258564.6468856573,7195.932667694196,251368.7142179631
331,259512.2182011285,7195.932667694196,252316.2855334343
332,260444.07840346487,7195.932667694196,253248.14573577067
333,261367.37646478065,7195.932667694196,254171.44379708645
334,262286.6428383343,7195.932667694196,255090.71017064012
335,263196.6820502056,7195.932667694196,256000.7493825114
336,264108.0928671918,7195.932667694196,256912.16019949762
337,265018.79709972494,7195.932667694196,257822.86443203074
338,265921.47952052514,7195.932667694196,258725.54685283094
339,266821.709677635,7195.932667694196,259625.7770099408
340,267731.74888950627,7195.932667694196,260535.81622181207
341,268658.87081962737,7195.932667694196,261462.93815193317
342,269612.71826759423,7195.932667694196,262416.78559990006
343,270612.11963089387,7195.932667694196,263416.1869631997
344,271105.98059985734,7195.932667694196,263910.0479321632
345,271578.89341797435,7195.932667694196,264382.9607502802
346,272030.3177559572,7195.932667694196,264834.385088263
347,272476.17254589754,7195.932667694196,265280.23987820337
348,272922.11046342057,7195.932667694196,265726.1777957264
349,273381.3072303881,7195.932667694196,266185.37456269393
350,273862.94844469114,6938.562251774495,266924.38619291666
351,274357.1419239855,6425.94649459802,267931.1954293875
352,274848.9870490679,6148.054066185247,268700.93298288266
353,275330.96077370184,6148.054066185247,269182.9067075166
354,275809.44313986134,6148.054066185247,269661.3890736761
355,276278.94772708666,6148.054066185247,270130.8936609014
356,276738.93420609005,6148.054066185247,270590.8801399048
357,277173.77459131944,6148.054066185247,271025.7205251342
358,277601.9855518266,6148.054066185247,271453.93148564134
359,278021.46811614773,6148.054066185247,271873.4140499625
360,278452.4846325718,6148.054066185247,272304.43056638655
361,278877.9939466404,6148.054066185247,272729.93988045515
362,279308.1376234459,6148.054066185247,273160.08355726063
363,279735.55887191714,6148.054066185247,273587.5048057319
364,280163.4165401977,6148.054066185247,274015.3624740124
365,280596.3449910244,6148.054066185247,274448.29092483915
366,281037.9187104544,6148.054066185247,274889.86464426917
