,cumulative_pv,cumulative_load,cumulative_grid_import,cumulative_grid_export,net_grid
0,18.599999999999998,1779.1796530423683,1760.5796530423684,0.0,-1760.5796530423684
1,37.199999999999996,3550.3790581432295,3513.1790581432297,0.0,-3513.1790581432297
2,55.8,5312.1019188135515,5256.301918813552,0.0,-5256.301918813552
3,74.39999999999999,7073.492269152977,6999.092269152979,0.0,-6999.092269152979
4,92.99999999999999,8842.945995016635,8749.945995016635,0.0,-8749.945995016635
5,111.59999999999998,10646.897667710764,10535.297667710764,0.0,-10535.297667710764
6,130.2,12476.036997970274,12345.836997970273,0.0,-12345.836997970273
7,255.45,14333.439706355952,14077.989706355951,0.0,-14077.989706355951
8,2611.7249999999995,16112.286849067425,14077.989706355951,0.0,-14077.989706355951
9,8353.425,17879.994895693875,14077.989706355951,0.0,-14077.989706355951
10,15060.075,19585.19100011186,14077.989706355951,0.0,-14077.989706355951
11,21820.8,21271.18463292059,14077.989706355951,0.0,-14077.989706355951
12,29321.4,23045.45975858224,14077.989706355951,0.0,-14077.989706355951
13,37134.75,24816.24352576948,14077.989706355951,41.550870684842266,-14036.43883567111
14,45265.95,26581.125234583316,14077.989706355951,6402.606003976271,-7675.3837023796805
15,53077.2,28398.044810182393,14077.989706355951,12391.673270482457,-1686.316435873494
16,57747.6,30246.386612051152,14077.989706355951,15208.468310718961,1130.4786043630102
17,58393.799999999996,32108.36133748665,14077.989706355951,15208.468310718961,1130.4786043630102
18,58416.6,33976.570631626455,14077.989706355951,15208.468310718961,1130.4786043630102
19,58435.2,35818.59473720819,14077.989706355951,15208.468310718961,1130.4786043630102
20,58453.799999999996,37628.86410618934,14077.989706355951,15208.468310718961,1130.4786043630102
21,58472.399999999994,39456.25775721165,14077.989706355951,15208.468310718961,1130.4786043630102
22,58490.99999999999,41274.17486380341,14077.989706355951,15208.468310718961,1130.4786043630102
23,58509.59999999999,43084.44423278457,14077.989706355951,15208.468310718961,1130.4786043630102
24,58528.19999999999,44887.06586415511,14077.989706355951,15208.468310718961,1130.4786043630102
25,58546.79999999999,46687.941816288454,14077.989706355951,15208.468310718961,1130.4786043630102
26,58565.39999999999,48482.50007213477,14077.989706355951,15208.468310718961,1130.4786043630102
27,58583.999999999985,50262.760383752546,14077.989706355951,15208.468310718961,1130.4786043630102
28,58602.599999999984,52043.020695370324,14077.989706355951,15208.468310718961,1130.4786043630102
29,58621.19999999998,53851.54438511427,14077.989706355951,15208.468310718961,1130.4786043630102
30,58639.79999999998,55709.279603830844,14077.989706355951,15208.468310718961,1130.4786043630102
31,58762.87499999998,57565.269143310215,14077.989706355951,15208.468310718961,1130.4786043630102
32,60829.49999999998,59359.82739915653,14077.989706355951,15208.468310718961,1130.4786043630102
33,65773.34999999998,61038.09016677193,14077.989706355951,15208.468310718961,1130.4786043630102
34,71760.74999999997,62611.27966982416,14077.989706355951,15208.468310718961,1130.4786043630102
35,78524.69999999997,64151.3012673695,14077.989706355951,15208.468310718961,1130.4786043630102
36,85172.39999999997,65637.53931889239,14077.989706355951,15208.468310718961,1130.4786043630102
37,91916.84999999996,67133.58642517672,14077.989706355951,15208.468310718961,1130.4786043630102
38,98491.87499999996,68771.36606000552,14077.989706355951,15208.468310718961,1130.4786043630102
39,104210.99999999996,70554.78521976681,14077.989706355951,15208.468310718961,1130.4786043630102
40,107464.64999999995,72388.82907740703,14077.989706355951,15208.468310718961,1130.4786043630102
41,107950.19999999995,74235.42520003859,14077.989706355951,15208.468310718961,1130.4786043630102
42,107972.99999999996,76083.43449157645,14077.989706355951,15208.468310718961,1130.4786043630102
43,107991.59999999996,77914.31950107317,14077.989706355951,15208.468310718961,1130.4786043630102
44,108010.19999999997,79733.98228690214,14077.989706355951,15208.468310718961,1130.4786043630102
45,108028.79999999997,81569.02367553506,14077.989706355951,15208.468310718961,1130.4786043630102
46,108047.39999999998,83399.90868503178,14077.989706355951,15208.468310718961,1130.4786043630102
47,108065.99999999999,85217.82579162355,14077.989706355951,15208.468310718961,1130.4786043630102
48,108084.59999999999,87026.34948136749,14077.989706355951,15208.468310718961,1130.4786043630102
49,108103.2,88830.30115406161,14077.989706355951,15208.468310718961,1130.4786043630102
50,108121.8,90626.60508914513,14077.989706355951,15208.468310718961,1130.4786043630102
51,108140.40000000001,92422.90902422865,14077.989706355951,15208.468310718961,1130.4786043630102
52,108159.00000000001,94225.11501768557,14077.989706355951,15208.468310718961,1130.4786043630102
53,108177.60000000002,96049.34982056437,14077.989706355951,15208.468310718961,1130.4786043630102
54,108196.20000000003,97894.20026395872,14077.989706355951,15208.468310718961,1130.4786043630102
55,108265.95000000003,99749.85729310718,14077.989706355951,15208.468310718961,1130.4786043630102
56,109756.65000000002,101522.05422920073,14077.989706355951,15208.468310718961,1130.4786043630102
57,113856.90000000002,103135.72686503956,14077.989706355951,15208.468310718961,1130.4786043630102
58,118902.15000000002,104658.62418054375,14077.989706355951,15208.468310718961,1130.4786043630102
59,124192.20000000003,106123.24906055839,14077.989706355951,15208.468310718961,1130.4786043630102
60,129900.82500000003,107577.06735481891,14077.989706355951,15208.468310718961,1130.4786043630102
61,135581.40000000002,109091.98442238159,14077.989706355951,15208.468310718961,1130.4786043630102
62,141262.2,110748.30150815785,14077.989706355951,15208.468310718961,1130.4786043630102
63,146467.95,112546.01861214767,14077.989706355951,15208.468310718961,1130.4786043630102
64,149707.42500000002,114371.99909426367,14077.989706355951,15208.468310718961,1130.4786043630102
65,150231.225,116240.20838840347,14077.989706355951,15208.468310718961,1130.4786043630102
