,pv_generation_kwh,load_kwh,battery_soc,battery_energy_kwh,pv_to_load,pv_to_battery,pv_to_grid,battery_to_load,grid_to_load,grid_import,grid_export,net_grid,self_sufficiency,grid_stable,unmet_load
0,0.0,2130.809327965006,0.45509534216774294,22754.767108387146,0.0,0.0,0.0,2130.809327965006,0.0,0.0,0.0,0.0,1.0,1.0,0.0
1,0.0,2108.7805185431384,0.4106588928337097,20532.944641685484,0.0,0.0,0.0,2108.7805185431384,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2,0.0,2074.1994441299425,0.3669548369615731,18347.741848078655,0.0,0.0,0.0,2074.1994441299425,0.0,0.0,0.0,0.0,1.0,1.0,0.0
3,0.0,2044.522897097465,0.3238798584292926,16193.99292146463,0.0,0.0,0.0,2044.522897097465,0.0,0.0,0.0,0.0,1.0,1.0,0.0
4,0.0,2035.1294802496495,0.28100692376341546,14050.346188170774,0.0,0.0,0.0,2035.1294802496495,0.0,0.0,0.0,0.0,1.0,1.0,0.0
5,0.0,1917.08831278153,0.24062310509313908,12031.155254656955,0.0,0.0,0.0,1917.08831278153,0.0,0.0,0.0,0.0,1.0,1.0,0.0
6,295.275,1879.764028138442,0.20724471479872184,10362.235739936092,295.275,0.0,0.0,1584.4890281384419,0.0,0.0,0.0,0.0,1.0,1.0,0.0
7,4454.55,2123.078462771671,0.2515175197386595,12575.875986932973,2123.078462771671,2331.471537228329,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
8,9744.3,2212.440614200001,0.3945833857840526,19729.16928920263,2212.440614200001,7531.859385799999,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
9,11175.525,2239.04144067169,0.5643201357539492,28216.006787697464,2239.04144067169,8936.48355932831,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
10,11540.175,2192.240611598062,0.7418566960446727,37092.834802233636,2192.240611598062,9347.934388401936,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
11,11678.85,2125.9048005842883,0.9232703185680879,46163.5159284044,2125.9048005842883,9552.945199415712,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
12,12064.875,2195.3994597415754,0.9999,49995.0,2195.3994597415754,4038.404285890107,5831.0712543683185,0.0,0.0,0.0,5831.0712543683185,-5831.0712543683185,1.0,1.0,0.0
13,12211.05,2212.440614200001,0.9999,49995.0,2212.440614200001,5.2631578947368425,9993.346227905262,0.0,0.0,0.0,9993.346227905262,-9993.346227905262,1.0,1.0,0.0
14,12347.999999999998,2182.4315568366274,0.9999,49995.0,2182.4315568366274,5.2631578947368425,10160.305285268634,0.0,0.0,0.0,10160.305285268634,-10160.305285268634,1.0,1.0,0.0
15,12344.25,2075.6126130362513,0.9999,49995.0,2075.6126130362513,5.2631578947368425,10263.374229069012,0.0,0.0,0.0,10263.374229069012,-10263.374229069012,1.0,1.0,0.0
16,10135.65,1951.669387194726,0.9999,49995.0,1951.669387194726,5.2631578947368425,8178.717454910537,0.0,0.0,0.0,8178.717454910537,-8178.717454910537,1.0,1.0,0.0
17,3584.1000000000004,1939.1171222033975,0.9999,49995.0,1939.1171222033975,5.2631578947368425,1639.719719901866,0.0,0.0,0.0,1639.719719901866,-1639.719719901866,1.0,1.0,0.0
